F207,CHE G532,ALTERNATE ENER RESOURCES,55,8,8,07-05-22|9:00|12:00,FULL
F204,CHE G552,ADV TRANSPORT PHENOMENA,28,3,3,10-05-22|9:00|12:00,FULL
G101,CHE G641,REACTION ENGINEERING,60,2,2,12-05-22|9:00|12:00,FULL
J218,CHEM F223,COLLOID & SURFACE CHEM,28,17,17,23-05-22|9:00|12:00,FULL
I213,CHEM F241,INORGANIC CHEMISTRY II,28,21,42,11-05-22|14:00|17:00,FULL
I221,CHEM F241,INORGANIC CHEMISTRY II,28,21,42,11-05-22|14:00|17:00,FULL
J121,CHEM F243,ORGANIC CHEMISTRY II,28,21,42,19-05-22|9:00|12:00,FULL
J206,CHEM F243,ORGANIC CHEMISTRY II,28,21,42,19-05-22|9:00|12:00,FULL
J107,CHEM F244,PHYSICAL CHEMISTRY III,28,22,44,06-05-22|9:00|12:00,FULL
J115,CHEM F244,PHYSICAL CHEMISTRY III,28,22,44,06-05-22|9:00|12:00,FULL
F108,CHEM F327,ELECTROCHEM FUNDA & APPL,54,16,16,07-05-22|14:00|17:00,FULL
F201,CHEM F329,ANALYTICAL CHEMISTRY,28,10,10,07-05-22|14:00|17:00,FULL
G207,CHEM F342,ORGANIC CHEMISTRY IV,37,25,51,21-05-22|9:00|12:00,FULL
G208,CHEM F342,ORGANIC CHEMISTRY IV,42,26,51,21-05-22|9:00|12:00,FULL
F207,CHEM F343,INORGANIC CHEMISTRY III,55,51,51,14-05-22|9:00|12:00,FULL
I111,CHEM F412,PHOTOCHEM & LASER SPECTR,28,4,4,11-05-22|9:00|12:00,FULL
I122,CHEM F414,BIO & CHEMICAL SENSORS,28,9,9,19-05-22|14:00|17:00,FULL
I112,CHEM G531,RECENT ADVANCES IN CHEM,28,5,5,09-05-22|9:00|12:00,FULL
G206,CHEM G551,ADV ORGANIC CHEMISTRY,37,4,4,06-05-22|14:00|17:00,FULL
J219,CHEM G552,ADV INORGANIC CHEMISTRY,28,6,6,23-05-22|9:00|12:00,FULL
F207,CHEM G561,HETROCYCLIC CHEMISTRY,55,3,3,20-05-22|9:00|12:00,FULL
G101,CS F211,DATA STRUCTURES & ALGO,40,40,267,17-05-22|14:00|17:00,FULL
G102,CS F211,DATA STRUCTURES & ALGO,37,37,267,17-05-22|14:00|17:00,FULL
G103,CS F211,DATA STRUCTURES & ALGO,37,37,267,17-05-22|14:00|17:00,FULL
G104,CS F211,DATA STRUCTURES & ALGO,37,37,267,17-05-22|14:00|17:00,FULL
G105,CS F211,DATA STRUCTURES & ALGO,37,37,267,17-05-22|14:00|17:00,FULL
G106,CS F211,DATA STRUCTURES & ALGO,37,37,267,17-05-22|14:00|17:00,FULL
G108,CS F211,DATA STRUCTURES & ALGO,42,42,267,17-05-22|14:00|17:00,FULL
G101,CS F212,DATABASE SYSTEMS,40,40,270,19-05-22|9:00|12:00,FULL
G102,CS F212,DATABASE SYSTEMS,37,35,270,19-05-22|9:00|12:00,FULL
G103,CS F212,DATABASE SYSTEMS,37,35,270,19-05-22|9:00|12:00,FULL
G104,CS F212,DATABASE SYSTEMS,37,35,270,19-05-22|9:00|12:00,FULL
G105,CS F212,DATABASE SYSTEMS,37,35,270,19-05-22|9:00|12:00,FULL
G106,CS F212,DATABASE SYSTEMS,37,30,270,19-05-22|9:00|12:00,FULL
G107,CS F212,DATABASE SYSTEMS,37,30,270,19-05-22|9:00|12:00,FULL
G108,CS F212,DATABASE SYSTEMS,42,30,270,19-05-22|9:00|12:00,FULL
F107,CS F213,OBJECT ORIENTED PROG,53,53,250,11-05-22|9:00|12:00,FULL
F108,CS F213,OBJECT ORIENTED PROG,54,54,250,11-05-22|9:00|12:00,FULL
F109,CS F213,OBJECT ORIENTED PROG,36,36,250,11-05-22|9:00|12:00,FULL
F201,CS F213,OBJECT ORIENTED PROG,28,28,250,11-05-22|9:00|12:00,FULL
F202,CS F213,OBJECT ORIENTED PROG,28,28,250,11-05-22|9:00|12:00,FULL
F203,CS F213,OBJECT ORIENTED PROG,28,28,250,11-05-22|9:00|12:00,FULL
F204,CS F213,OBJECT ORIENTED PROG,28,23,250,11-05-22|9:00|12:00,FULL
F107,CS F303,COMPUTER NETWORKS,53,53,250,09-05-22|9:00|12:00,FULL
F108,CS F303,COMPUTER NETWORKS,54,54,250,09-05-22|9:00|12:00,FULL
F109,CS F303,COMPUTER NETWORKS,36,36,250,09-05-22|9:00|12:00,FULL
F201,CS F303,COMPUTER NETWORKS,28,28,250,09-05-22|9:00|12:00,FULL
F202,CS F303,COMPUTER NETWORKS,28,28,250,09-05-22|9:00|12:00,FULL
F203,CS F303,COMPUTER NETWORKS,28,28,250,09-05-22|9:00|12:00,FULL
F204,CS F303,COMPUTER NETWORKS,28,23,250,09-05-22|9:00|12:00,FULL
F107,CS F342,COMPUTER ARCHITECTURE,53,53,85,06-05-22|14:00|17:00,FULL
F109,CS F342,COMPUTER ARCHITECTURE,36,32,85,06-05-22|14:00|17:00,FULL
G101,CS F363,COMPILER CONSTRUCTION,40,40,250,12-05-22|14:00|17:00,FULL
G102,CS F363,COMPILER CONSTRUCTION,37,37,250,12-05-22|14:00|17:00,FULL
G103,CS F363,COMPILER CONSTRUCTION,37,37,250,12-05-22|14:00|17:00,FULL
G104,CS F363,COMPILER CONSTRUCTION,37,37,250,12-05-22|14:00|17:00,FULL
G105,CS F363,COMPILER CONSTRUCTION,37,37,250,12-05-22|14:00|17:00,FULL
G106,CS F363,COMPILER CONSTRUCTION,37,37,250,12-05-22|14:00|17:00,FULL
G107,CS F363,COMPILER CONSTRUCTION,37,25,250,12-05-22|14:00|17:00,FULL
F107,CS F364,DESIGN & ANAL OF ALGO,53,53,251,18-05-22|14:00|17:00,FULL
F108,CS F364,DESIGN & ANAL OF ALGO,54,54,251,18-05-22|14:00|17:00,FULL
F109,CS F364,DESIGN & ANAL OF ALGO,36,36,251,18-05-22|14:00|17:00,FULL
F201,CS F364,DESIGN & ANAL OF ALGO,28,28,251,18-05-22|14:00|17:00,FULL
F202,CS F364,DESIGN & ANAL OF ALGO,28,28,251,18-05-22|14:00|17:00,FULL
F203,CS F364,DESIGN & ANAL OF ALGO,28,28,251,18-05-22|14:00|17:00,FULL
F204,CS F364,DESIGN & ANAL OF ALGO,28,24,251,18-05-22|14:00|17:00,FULL
